Cena,Cena_za_metr,Id,Rynek,Strefa,Powierzchnia,Liczba pokoi,Liczba pięter,Piętro,URL
292655.0,8500.0,60534329,pierwotny,Krzyki,34.43,2,4,2.0,https://www.otodom.pl/oferta/2-pokoje-ekspozycja-zachodnia-klucze-od-reki-ID45ZK9.html#0f9aab230e
406916.0,8095.0,60534519,pierwotny,Krzyki,50.27,3,3,3.0,https://www.otodom.pl/oferta/gotowe-blisko-parku-i-rzeki-tramwaj-3min-ID45ZNd.html#0f9aab230e
412088.0,7631.0,60534525,pierwotny,Śródmieście,54.0,3,4,1.0,https://www.otodom.pl/oferta/3-pokmarinaportochronawsrod-zielenibalkon-ID45ZNj.html#0f9aab230e
395000.0,9875.0,60533999,wtorny,Krzyki,40.0,2,5,2.0,https://www.otodom.pl/oferta/mieszkanie-2-pok-w-centrum-bezposrednio-ID45ZEP.html#0f9aab230e
354254.0,7190.0,60534331,pierwotny,Krzyki,49.27,2,4,1.0,https://www.otodom.pl/oferta/2-pokoje-osobna-kuchnia-super-cena-od-reki-ID45ZKb.html#0f9aab230e
585000.0,8125.0,58810700,wtorny,Psie Pole,72.0,4,3,3.0,https://www.otodom.pl/oferta/mieszkanie-72m-4-pokoje-lipa-piotrowska-wroclaw-ID3YLlG.html#0f9aab230e
549000.0,15686.0,60534024,wtorny,Śródmieście,35.0,2,,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-ogrodek-pl-grunwaldzki-ID45ZFe.html#0f9aab230e
420964.0,10290.0,60534114,pierwotny,Fabryczna,40.91,2,5,2.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-w-centrum-gotowe-do-odbioru-ID45ZGG.html#0f9aab230e
475000.0,7956.0,60534530,pierwotny,Śródmieście,59.7,3,5,4.0,https://www.otodom.pl/oferta/promocjawindamarinasloneczny-bulwar0-prowizji-ID45ZNo.html#0f9aab230e
348500.0,6575.0,60534107,pierwotny,Fabryczna,53.0,3,4,3.0,https://www.otodom.pl/oferta/gotowe-mieszkanie-klucze-do-odbioru-ID45ZGz.html#0f9aab230e
404341.0,7658.0,60534522,pierwotny,Śródmieście,52.8,3,4,1.0,https://www.otodom.pl/oferta/promocjaprzystandwustronnepromenadawinda-ID45ZNg.html#0f9aab230e
256516.0,9597.0,60534084,pierwotny,Krzyki,26.73,1,4,2.0,https://www.otodom.pl/oferta/ostatnie-dostepne-kawalerki-niska-cena-balkon-ID45ZGc.html#0f9aab230e
485000.0,9896.0,60158197,wtorny,Krzyki,49.01,2,5,3.0,https://www.otodom.pl/oferta/krzyki-mieszkanie-2-pokoje-49m2-wys-standard-ID44pTw.html#0f9aab230e
429000.0,8755.0,60324026,wtorny,dolnośląskie,49.0,2,5,4.0,https://www.otodom.pl/oferta/zielinskiego-rozklad-z-balkonem-2004-r-winda-ID4572a.html#0f9aab230e
355661.0,7475.0,60534113,pierwotny,Krzyki,47.58,2,4,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-na-krzykach-promocja-ID45ZGF.html#0f9aab230e
465000.0,8774.0,60533918,wtorny,Fabryczna,53.0,3,4,3.0,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-plus-2-garaze-ID45ZDv.html#1f999542e1
249999.0,8333.0,60533857,pierwotny,Fabryczna,30.0,2,2,,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-wroclaw-maslice-nowe-ID45ZCx.html#1f999542e1
399489.0,8464.0,60528240,pierwotny,Psie Pole,47.2,2,5,1.0,https://www.otodom.pl/oferta/osiedle-nad-odra-2-pokoje-teraz-taniej-o-32-400-ID45Y9V.html#1f999542e1
