Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,Rynek,Strefa,URL
328041.0,9225.0,60528719,3,2,3.0,35.56,pierwotny,Fabryczna,https://www.otodom.pl/oferta/2-pokoje-z-widokiem-na-park-wykonczone-z-agd-ID45YhF.html#ac18fbd7cc
412692.0,6596.0,60529014,4,3,4.0,62.57,pierwotny,Fabryczna,https://www.otodom.pl/oferta/gotowe-3-pokoje-z-duzym-balkonem-rabat-18-415-ID45Ymq.html#ac18fbd7cc
421935.0,6900.0,60394367,3,3,1.0,61.15,pierwotny,Fabryczna,https://www.otodom.pl/oferta/gotowe-dwustronne-3-pokojowe-na-oporowie-ID45pkH.html#ac18fbd7cc
340315.0,6790.0,60527931,3,3,2.0,50.12,pierwotny,Fabryczna,https://www.otodom.pl/oferta/3-pokoje-z-systemem-smart-ustawny-balkon-6-76m2-ID45Y4X.html#ac18fbd7cc
339000.0,9549.0,60526977,,2,,35.5,pierwotny,Krzyki,https://www.otodom.pl/oferta/nowe-umeblowane-gotowe-do-zamieszkania-ID45XPz.html#02f510e6c7
393455.0,9785.0,60529334,6,2,3.0,40.21,pierwotny,Śródmieście,https://www.otodom.pl/oferta/2-pokoje-z-ustawnym-balkonem-na-srodmiesciu-ID45YrA.html#ac18fbd7cc
375147.0,6784.0,60533449,4,3,2.0,55.3,pierwotny,Psie Pole,https://www.otodom.pl/oferta/wysoki-standard-rodzinnego-mieszkania-na-zakrzowie-ID45ZwX.html#02f510e6c7
352000.0,7652.0,59589227,3,2,3.0,46.0,pierwotny,Krzyki,https://www.otodom.pl/oferta/nowe-gotowe-2-pokoje-47m2-na-krzykach-mglista-15-ID421Sz.html#02f510e6c7
419577.0,6939.0,60533378,4,3,3.0,60.47,pierwotny,Krzyki,https://www.otodom.pl/oferta/jagodno-gotowe-okazja-rabaty-nowe-ID45ZuO.html#ac18fbd7cc
358796.0,7600.0,60434458,4,2,4.0,47.21,pierwotny,Krzyki,https://www.otodom.pl/oferta/2-pokoje-z-kuchnia-w-gotowej-inwestycji-krzyki-ID45zLk.html#ac18fbd7cc
630030.5,10450.0,60533213,3,3,,60.29,pierwotny,Śródmieście,https://www.otodom.pl/oferta/gotowe-3-pokoje-taras-srodmiescie-zielona-okolic-ID45Zs9.html#ac18fbd7cc
749000.0,11015.0,60533260,6,3,6.0,68.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/grabiszynska-wchodzisz-i-mieszkasz-ID45ZsU.html#ac18fbd7cc
1088255.0,10850.0,60528290,5,5,2.0,100.3,pierwotny,Psie Pole,https://www.otodom.pl/oferta/apartament-z-tarasem-20m2-widok-na-port-i-odre-ID45YaK.html#ac18fbd7cc
365000.0,7684.0,60526754,3,2,,47.5,wtorny,Fabryczna,https://www.otodom.pl/oferta/nowe-wykonczone-2-pokojowe-z-ogrodkiem-bez-pcc-ID45XLY.html#ac18fbd7cc
395577.0,6641.0,60533377,4,3,4.0,59.57,pierwotny,Krzyki,https://www.otodom.pl/oferta/krzyki-pelny-rozklad-gotowe-do-odbioru-balkon-ID45ZuN.html#ac18fbd7cc
219555.0,6810.0,55074160,4,2,3.0,32.24,pierwotny,Fabryczna,https://www.otodom.pl/oferta/apartamenty-32-24m2-ID3J5iU.html#02f510e6c7
329000.0,8129.0,60533125,3,2,2.0,40.47,wtorny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-40-47-m-wroclaw-ID45ZqJ.html#ac18fbd7cc
399000.0,8111.0,60475553,4,2,1.0,49.19,wtorny,Psie Pole,https://www.otodom.pl/oferta/kamienskiego-49m2-wroclaw-ID45Ks9.html#ac18fbd7cc
1047025.0,15500.0,60529922,10,3,1.0,67.55,pierwotny,Śródmieście,https://www.otodom.pl/oferta/scisle-centrum-nad-odra-taras-39-m2-ID45YB4.html#ac18fbd7cc
285000.0,7840.0,60391468,4,2,1.0,36.35,pierwotny,dolnośląskie,https://www.otodom.pl/oferta/2-pokoje-z-miejscem-postojowym-krzyki-4q2020-ID45ozV.html#ac18fbd7cc
394408.0,9393.0,60529507,3,2,3.0,41.99,pierwotny,Krzyki,https://www.otodom.pl/oferta/2-pokoje-przy-parku-system-smart-tramwaje-ID45Yun.html#ac18fbd7cc
431000.0,8707.0,60533054,4,2,1.0,49.5,wtorny,Krzyki,https://www.otodom.pl/oferta/tarnogaj-lokum-di-trevi-2-pokoje-balkon-winda-ID45ZpA.html#ac18fbd7cc
524230.0,7000.0,60533168,2,4,,74.89,pierwotny,Fabryczna,https://www.otodom.pl/oferta/4pokoje-taras-ogrod-200mkw-zielone-maslice-ID45Zrq.html#ac18fbd7cc
439000.0,8130.0,60533072,,2,,54.0,wtorny,Krzyki,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-krzyki-sowia-ID45ZpS.html#ac18fbd7cc
520212.0,7700.0,60533166,4,3,1.0,67.56,pierwotny,Fabryczna,https://www.otodom.pl/oferta/3-pokoje-balkon-18-81mkw-nowe-zerniki-ID45Zro.html#ac18fbd7cc
299000.0,8717.0,60533124,10,2,8.0,34.3,wtorny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-34-30-m-wroclaw-ID45ZqI.html#ac18fbd7cc
415000.0,9881.0,60532312,2,2,1.0,42.0,wtorny,Krzyki,https://www.otodom.pl/oferta/mieszkanie-gotowe-do-wprowadzenia-garaz-w-cenie-ID45ZdC.html#ac18fbd7cc
461999.0,7000.0,60533007,10,3,4.0,66.0,wtorny,Fabryczna,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-66-m2-fat-inzynierska-ID45ZoP.html#ac18fbd7cc
399900.0,11491.0,60287598,4,2,3.0,34.8,wtorny,Śródmieście,https://www.otodom.pl/oferta/komorka-lokatorska-w-cenie-ID44XyC.html#ac18fbd7cc
395000.0,9518.0,60450275,4,2,1.0,41.5,wtorny,Niedźwiedzia,https://www.otodom.pl/oferta/bezposrednio-2-pokojowe-kolo-magnolii-ID45DSr.html#ac18fbd7cc
309000.0,9364.0,50537892,3,2,3.0,33.0,pierwotny,Psie Pole,https://www.otodom.pl/oferta/bezposrednio-nowe-niezamieszkale-garaz-komorka-ID3q3di.html#ac18fbd7cc
417897.0,7852.0,60532979,3,3,3.0,53.22,pierwotny,Krzyki,https://www.otodom.pl/oferta/ostatnie-dni-rabatu-garaz-w-cenie-tramwaj-ID45Zon.html#ac18fbd7cc
699000.0,8312.0,60510214,3,3,2.0,84.1,wtorny,dolnośląskie,https://www.otodom.pl/oferta/klimatyczny-apartament-wroclaw-aquapark-wroclavia-ID45Ttc.html#ac18fbd7cc
452971.0,9650.0,60529605,6,2,3.0,46.94,pierwotny,Śródmieście,https://www.otodom.pl/oferta/2-pokoje-o-komfortowym-metrazu-blisko-odry-ID45YwX.html#ac18fbd7cc
320000.0,10603.0,60450208,8,1,6.0,30.18,pierwotny,Fabryczna,https://www.otodom.pl/oferta/nowe-mieszkanie-od-zaraz-legnicka-magnolia-ID45DRm.html#ac18fbd7cc
