Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,URL
535760.0,9050.0,60476091,4,3,Brak danych,59.2,https://www.otodom.pl/oferta/ogrodek-krzyki-3-pokoje-do-aranzacji-ID45KAP.html#ac18fbd7cc
352783.0,7084.0,60462515,5,2,1.0,49.8,https://www.otodom.pl/oferta/nowe-mieszkania-wsrod-zieleni-dobry-dojazd-do-aow-ID45H3R.html#02f510e6c7
350000.0,8235.0,60476286,4,2,2.0,42.5,https://www.otodom.pl/oferta/42m-na-stablowicach-ID45KDY.html#02f510e6c7
353029.0,7190.0,60141640,3,2,1.0,49.1,https://www.otodom.pl/oferta/1500m-od-gaju-rolety-antywlam-spokojna-okolica-ID44lAs.html#02f510e6c7
494298.5,7550.0,60476085,3,3,2.0,65.47,https://www.otodom.pl/oferta/gotowe-blisko-tramwaju-dla-rodziny-65-47m2-ID45KAJ.html#ac18fbd7cc
399000.0,6650.0,60253676,2,3,1.0,60.0,https://www.otodom.pl/oferta/nowe-do-wprowadzenia-bez-pcc-ID44OJu.html#ac18fbd7cc
399000.0,7980.0,60447293,2,3,2.0,50.0,https://www.otodom.pl/oferta/nowe-do-wprowadzenia-bez-pcc-garaz-w-cenie-ID45D6l.html#ac18fbd7cc
426900.0,6998.0,60149094,4,2,Brak danych,61.0,https://www.otodom.pl/oferta/bezposrednio-duze-w-centrum-ul-zdrowa-duza-piwnica-ID44nvG.html#ac18fbd7cc
375000.0,11405.0,60368997,6,2,2.0,32.88,https://www.otodom.pl/oferta/rynek-2-pokoje-33-m2-bez-pcc-gotowe-i-wykonczone-ID45iJw.html#ac18fbd7cc
359000.0,6504.0,60476187,2,3,1.0,55.2,https://www.otodom.pl/oferta/maslice-male-cicho-i-zielono-ID45KCn.html#ac18fbd7cc
382109.0,9100.0,60476084,3,3,3.0,41.99,https://www.otodom.pl/oferta/2-pokoje-poludnie-wroclawia-blisko-petli-ID45KAI.html#ac18fbd7cc
549430.0,8350.0,60476090,4,3,3.0,65.8,https://www.otodom.pl/oferta/narozne-3-pokoje-taras-ID45KAO.html#ac18fbd7cc
423153.0,6790.0,60476089,4,3,1.0,62.32,https://www.otodom.pl/oferta/3-pokoje-dla-rodziny-63m2-juz-w-tym-roku-ID45KAN.html#ac18fbd7cc
335290.0,6790.0,60476088,4,2,2.0,49.38,https://www.otodom.pl/oferta/2-pokoje-na-start-2020r-ID45KAM.html#ac18fbd7cc
404621.75,7475.0,60476086,2,3,2.0,54.13,https://www.otodom.pl/oferta/3-pokoje-dla-rodziny-gotowe-ID45KAK.html#ac18fbd7cc
369517.0,6834.0,60476043,4,3,1.0,54.07,https://www.otodom.pl/oferta/gotowe-krzyki-jagodno-balkon-i-winda-nowe-ID45KA3.html#ac18fbd7cc
130445.45,7124.0,60476060,5,1,4.0,18.31,https://www.otodom.pl/oferta/inwestycja-dla-studenta-5km-do-centrum-sprawdz-ID45KAk.html#ac18fbd7cc
226350.0,7500.0,60475969,2,1,1.0,30.18,https://www.otodom.pl/oferta/kawalerka-inwestycja-lub-na-start-ID45KyR.html#ac18fbd7cc
454517.0,6797.0,60476044,4,4,4.0,66.87,https://www.otodom.pl/oferta/jagodno-gotowe-okazja-winda-i-balkon-ID45KA4.html#ac18fbd7cc
983330.0,10700.0,60475971,4,4,2.0,91.9,https://www.otodom.pl/oferta/4-pokoje-apartament-nad-odra-z-tarasem-ID45KyT.html#ac18fbd7cc
269000.0,8189.0,60476028,4,2,3.0,32.85,https://www.otodom.pl/oferta/2-pokoje-w-centrum-okazja-tez-dla-inwestora-ID45KzO.html#ac18fbd7cc
424600.0,7350.0,60476083,2,3,1.0,57.77,https://www.otodom.pl/oferta/dla-rodziny-3-pokoje-psie-pole-dobra-komunikacja-ID45KAH.html#ac18fbd7cc
359000.0,8048.0,60476057,2,2,Brak danych,44.61,https://www.otodom.pl/oferta/okolice-strachocinskiej-45m2-2pok-z-ogrodkiem-2012-ID45KAh.html#ac18fbd7cc
439000.0,5042.0,60475963,2,4,Brak danych,87.06,https://www.otodom.pl/oferta/wygodne-mieszkanie-w-spokojnej-okolicy-ID45KyL.html#ac18fbd7cc
385000.0,5932.0,60476000,8,3,5.0,64.9,https://www.otodom.pl/oferta/3-pok-idealne-pod-wynajem-dla-rodziny-kozanow-ID45Kzm.html#ac18fbd7cc
461498.0,11800.0,60475960,8,2,4.0,39.11,https://www.otodom.pl/oferta/apartament-2-pokojowy-wysoki-standard-nad-rzeka-ID45KyI.html#ac18fbd7cc
